event_name,performance_id,date,time,status,max_selectable_quantity,performance_url,checked_at,evidence
The Odyssey,79140,2026-08-12,4:00 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140,2026-08-12T09:35:11+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 186; Add To Cart button disabled pending a selection
The Odyssey,80633,2026-08-12,7:30 PM,AVAILABLE,19,https://my.pacificsciencecenter.org/79140/80633,2026-08-12T09:35:15+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 19; positive zone availability count(s): 19; Add To Cart button disabled pending a selection
The Odyssey,80621,2026-08-13,4:00 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80621,2026-08-12T09:35:20+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 176; Add To Cart button disabled pending a selection
The Odyssey,80634,2026-08-13,7:30 PM,AVAILABLE,21,https://my.pacificsciencecenter.org/79140/80634,2026-08-12T09:35:26+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 21; positive zone availability count(s): 21; Add To Cart button disabled pending a selection
The Odyssey,80622,2026-08-14,4:00 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80622,2026-08-12T09:35:30+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 255; Add To Cart button disabled pending a selection
The Odyssey,80635,2026-08-14,7:30 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80635,2026-08-12T09:35:35+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 213; Add To Cart button disabled pending a selection
The Odyssey,80623,2026-08-15,4:00 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80623,2026-08-12T09:35:39+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 205; Add To Cart button disabled pending a selection
The Odyssey,80636,2026-08-15,7:30 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80636,2026-08-12T09:35:43+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 252; Add To Cart button disabled pending a selection
The Odyssey,80624,2026-08-16,4:00 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80624,2026-08-12T09:35:48+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 215; Add To Cart button disabled pending a selection
The Odyssey,80637,2026-08-16,7:30 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80637,2026-08-12T09:35:53+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 270; Add To Cart button disabled pending a selection
The Odyssey,80625,2026-08-17,4:00 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80625,2026-08-12T09:35:58+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 278; Add To Cart button disabled pending a selection
The Odyssey,80638,2026-08-17,7:30 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80638,2026-08-12T09:36:02+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 262; Add To Cart button disabled pending a selection
The Odyssey,80626,2026-08-18,4:00 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80626,2026-08-12T09:36:07+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 273; Add To Cart button disabled pending a selection
The Odyssey,80639,2026-08-18,7:30 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80639,2026-08-12T09:36:13+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 278; Add To Cart button disabled pending a selection
The Odyssey,80627,2026-08-19,4:00 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80627,2026-08-12T09:36:17+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 259; Add To Cart button disabled pending a selection
The Odyssey,80640,2026-08-19,7:30 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80640,2026-08-12T09:36:22+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 269; Add To Cart button disabled pending a selection
The Odyssey,80628,2026-08-20,4:00 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80628,2026-08-12T09:36:26+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 279; Add To Cart button disabled pending a selection
The Odyssey,80641,2026-08-20,7:30 PM,AVAILABLE,50,https://my.pacificsciencecenter.org/79140/80641,2026-08-12T09:36:31+00:00,main document HTTP 200; 'Purchase items' heading; ticket-selector form present; enabled quantity options through 50; positive zone availability count(s): 273; Add To Cart button disabled pending a selection
